Combination,Count,Date Range
1-2-3,76,25/11/1998 - 31/08/2024
2-3-5,72,24/01/1999 - 10/08/2024
3-4-5,70,17/02/1999 - 26/04/2024
4-6-7,70,26/02/1999 - 07/09/2024
2-7-8,68,05/01/1999 - 15/08/2024
0-4-8,68,15/09/2000 - 17/03/2024
2-3-7,68,06/05/1999 - 19/01/2023
2-6-8,68,13/11/1998 - 26/07/2024
1-6-7,68,20/01/1999 - 27/01/2024
0-4-5,67,30/08/1999 - 26/09/2024
0-1-5,66,09/11/1998 - 17/04/2023
0-2-7,66,03/05/2000 - 09/08/2024
0-1-6,66,15/01/1999 - 17/05/2023
0-3-9,65,14/11/1998 - 04/01/2024
1-2-5,65,05/02/1999 - 29/03/2024
5-6-7,64,11/11/1998 - 03/09/2024
0-6-7,63,24/11/1998 - 28/08/2023
0-7-9,63,12/09/1999 - 02/08/2024
2-4-7,63,08/01/1999 - 01/02/2024
2-4-5,63,12/04/1999 - 22/08/2024
2-5-7,63,15/12/1998 - 17/05/2024
1-4-6,63,07/01/1999 - 22/05/2024
0-2-3,63,16/05/1999 - 28/08/2024
0-1-3,63,22/07/1999 - 12/08/2024
3-7-8,62,08/03/1999 - 29/07/2024
3-4-9,62,23/02/1999 - 21/03/2024
0-5-7,62,20/11/2000 - 13/05/2024
0-1-2,61,27/02/1999 - 19/07/2024
2-5-9,61,23/12/1998 - 10/10/2024
2-3-6,61,02/09/1999 - 12/04/2024
1-6-8,61,15/03/1999 - 04/08/2024
1-6-9,61,11/07/1999 - 25/02/2024
1-3-4,61,21/04/1999 - 18/07/2024
1-3-9,61,27/12/1998 - 16/03/2024
0-4-6,61,21/10/1999 - 11/01/2024
1-3-5,60,01/03/1999 - 18/10/2024
0-5-8,60,21/12/1998 - 20/04/2023
0-3-7,60,21/01/1999 - 23/09/2024
0-2-5,60,04/01/1999 - 10/05/2024
1-2-4,60,17/01/1999 - 30/06/2024
5-8-9,59,20/11/1998 - 08/10/2024
2-4-6,59,08/09/1999 - 03/06/2024
2-3-9,59,19/01/1999 - 20/07/2024
3-8-9,59,08/12/1998 - 03/05/2024
1-4-8,59,15/05/1999 - 05/09/2024
1-3-6,59,04/06/1999 - 07/10/2024
0-5-6,59,07/12/1998 - 19/09/2024
2-7-9,58,18/02/1999 - 01/11/2023
2-3-8,58,28/01/2000 - 29/12/2023
3-5-6,58,08/02/1999 - 14/03/2024
3-4-8,58,10/12/1998 - 15/03/2024
3-6-7,58,16/01/1999 - 19/04/2024
3-5-7,58,17/12/1998 - 16/10/2024
1-4-5,58,05/04/1999 - 17/10/2024
1-2-9,57,06/02/1999 - 18/08/2024
4-5-9,57,12/05/1999 - 17/07/2024
2-5-8,57,01/11/1999 - 06/10/2024
0-8-9,56,20/02/1999 - 13/12/2023
0-3-5,56,28/02/2000 - 27/07/2024
0-1-7,56,28/03/1999 - 15/04/2024
1-7-9,56,05/12/1998 - 12/09/2024
2-6-9,56,24/12/1998 - 17/10/2023
3-6-9,56,28/02/1999 - 21/09/2024
5-7-8,56,23/01/1999 - 27/08/2024
0-1-8,56,09/05/1999 - 24/07/2024
0-4-7,56,29/01/1999 - 14/12/2023
1-2-8,56,26/12/1998 - 13/02/2024
4-7-9,55,12/12/1998 - 04/09/2024
3-7-9,55,06/12/1998 - 03/10/2024
5-6-9,55,27/11/1998 - 07/07/2024
6-7-8,54,14/12/1998 - 04/09/2023
6-7-9,54,23/11/1998 - 16/07/2024
2-3-4,54,14/01/1999 - 02/06/2024
4-6-8,54,19/11/1998 - 23/05/2024
1-8-9,54,12/11/1998 - 01/10/2024
0-5-9,54,06/11/1999 - 14/09/2024
3-5-8,54,01/02/1999 - 25/08/2024
1-5-7,53,07/01/2000 - 24/09/2024
0-1-4,53,27/06/1999 - 03/07/2024
0-2-6,53,01/12/1998 - 11/09/2024
0-3-4,53,03/05/1999 - 24/06/2024
2-4-9,53,24/12/1999 - 11/03/2024
3-6-8,53,13/04/1999 - 24/08/2024
1-5-9,53,06/07/1999 - 19/03/2024
1-4-7,53,12/03/1999 - 30/09/2024
4-6-9,52,03/11/1999 - 05/05/2024
3-5-9,52,21/07/1999 - 26/05/2024
3-4-7,52,17/11/1998 - 04/06/2024
1-2-6,52,22/11/1999 - 20/04/2024
0-6-8,52,19/02/1999 - 04/10/2024
0-2-8,51,06/01/1999 - 03/08/2022
1-3-7,51,22/04/1999 - 01/01/2024
4-5-7,51,07/10/2001 - 06/06/2024
1-2-7,51,20/01/2001 - 12/10/2024
4-8-9,51,04/02/1999 - 23/01/2024
4-5-6,51,10/05/1999 - 14/08/2024
1-4-9,50,12/05/2000 - 05/10/2024
0-4-9,50,03/12/1998 - 25/06/2024
0-1-9,50,08/07/1999 - 18/06/2023
5-7-9,49,02/04/1999 - 08/06/2023
0-7-8,49,28/08/1999 - 30/08/2024
0-3-6,49,28/12/1998 - 12/06/2024
4-5-8,49,25/03/1999 - 16/06/2024
7-8-9,49,22/02/1999 - 06/09/2024
0-2-9,49,04/10/1999 - 11/02/2024
1-7-8,48,13/02/1999 - 25/05/2024
1-3-8,48,02/07/2000 - 19/11/2023
5-6-8,48,26/11/1998 - 10/07/2024
2-6-7,46,20/12/1998 - 16/03/2023
0-2-4,46,23/02/2000 - 25/07/2024
6-8-9,45,03/01/1999 - 02/10/2024
2-8-9,45,31/01/1999 - 15/06/2023
1-5-6,45,10/06/1999 - 27/02/2024
3-4-6,43,20/03/1999 - 02/09/2023
0-3-8,43,22/11/1998 - 22/04/2023
0-6-9,43,30/11/1998 - 24/04/2024
2-5-6,43,11/10/2000 - 24/03/2024
2-4-8,42,07/03/2000 - 21/08/2024
1-7-7,41,22/10/2000 - 23/06/2024
4-7-8,41,29/06/1999 - 20/03/2024
6-6-8,41,07/04/1999 - 04/12/2023
4-9-9,41,27/08/1999 - 06/08/2024
1-8-8,40,16/06/1999 - 29/09/2019
0-0-6,40,16/11/1998 - 25/11/2023
0-0-8,39,23/03/1999 - 29/10/2023
4-4-9,38,13/07/1999 - 14/07/2024
7-8-8,38,02/03/1999 - 15/05/2024
5-5-6,38,15/11/1998 - 19/08/2023
5-7-7,38,22/02/2001 - 17/01/2024
0-5-5,38,14/01/2000 - 20/02/2024
1-2-2,37,04/03/1999 - 22/02/2024
2-5-5,37,17/03/1999 - 10/06/2024
1-1-8,37,19/03/2000 - 15/06/2024
1-5-8,36,18/03/1999 - 02/07/2024
8-8-9,36,06/05/2000 - 21/01/2024
7-9-9,36,27/03/1999 - 14/10/2024
2-4-4,35,06/03/2002 - 08/07/2023
3-9-9,35,07/03/1999 - 23/08/2024
5-6-6,35,23/10/1999 - 27/09/2022
0-0-1,35,26/05/2000 - 02/02/2023
0-6-6,34,04/05/1999 - 09/07/2024
1-1-9,34,24/08/2000 - 28/09/2024
1-1-6,34,12/03/2000 - 13/10/2024
4-6-6,34,28/06/1999 - 20/12/2023
3-7-7,34,06/06/1999 - 23/07/2024
2-7-7,34,25/01/1999 - 29/09/2024
1-9-9,34,30/12/1998 - 06/02/2024
5-9-9,33,18/05/1999 - 11/10/2024
3-8-8,33,18/12/1998 - 01/12/2021
6-6-7,32,29/12/1999 - 16/05/2024
4-4-6,32,20/02/2000 - 17/09/2024
0-7-7,32,24/08/1999 - 27/06/2024
1-1-3,32,31/05/1999 - 01/08/2024
2-2-9,31,22/02/2000 - 23/11/2023
2-2-7,31,17/05/1999 - 03/04/2024
4-4-7,31,21/05/1999 - 02/09/2024
7-7-8,31,04/07/2000 - 22/09/2024
1-1-2,30,20/12/1999 - 19/04/2023
2-6-6,30,10/11/1998 - 17/08/2024
1-1-7,30,28/05/2000 - 11/06/2024
0-0-4,30,16/03/1999 - 03/11/2023
2-2-4,30,10/01/1999 - 21/03/2022
1-1-5,29,30/03/1999 - 08/08/2024
3-5-5,29,20/07/1999 - 11/05/2024
4-4-5,29,28/05/1999 - 31/10/2023
0-0-7,28,09/07/1999 - 13/08/2024
0-0-2,28,22/12/2000 - 15/09/2024
6-9-9,28,06/04/1999 - 20/01/2021
7-7-9,28,28/11/2001 - 13/12/2021
8-9-9,28,11/02/2000 - 08/03/2022
0-9-9,28,09/04/1999 - 14/10/2020
1-4-4,28,02/12/1998 - 10/12/2023
5-8-8,27,19/11/2000 - 15/10/2024
6-7-7,27,23/04/1999 - 01/12/2023
6-6-9,27,16/02/1999 - 20/08/2024
5-5-8,27,22/08/1999 - 26/03/2023
0-4-4,27,30/03/2000 - 28/10/2023
0-0-3,27,09/02/1999 - 10/09/2024
2-2-5,27,04/06/2001 - 16/09/2024
3-3-5,27,14/05/1999 - 30/10/2022
2-2-8,26,30/05/1999 - 01/06/2024
1-6-6,26,25/08/2001 - 02/05/2024
0-0-9,26,13/12/1998 - 13/08/2022
1-1-4,26,05/12/1999 - 07/11/2023
4-8-8,26,21/06/1999 - 13/09/2024
3-4-4,26,18/04/1999 - 11/07/2022
1-5-5,25,18/06/1999 - 19/06/2024
3-3-9,25,06/07/2000 - 06/05/2024
4-7-7,24,01/12/1999 - 27/11/2022
2-9-9,24,09/06/1999 - 13/04/2024
3-3-8,24,21/11/1998 - 26/04/2023
0-2-2,24,17/04/1999 - 17/02/2024
6-8-8,23,13/05/1999 - 15/02/2024
0-1-1,23,13/08/1999 - 13/08/2023
1-3-3,23,29/11/1999 - 16/12/2023
2-2-3,23,15/10/2002 - 31/07/2024
4-4-8,23,24/03/1999 - 09/07/2023
2-8-8,22,29/03/1999 - 15/10/2023
3-3-6,22,25/12/2000 - 05/10/2022
3-3-7,22,02/11/2000 - 20/05/2023
0-8-8,22,09/08/1999 - 24/02/2022
3-3-4,22,19/10/2000 - 16/10/2020
2-3-3,22,24/02/2000 - 25/01/2024
3-6-6,21,20/09/1999 - 27/12/2022
5-5-9,20,28/07/2002 - 28/07/2024
0-3-3,20,24/01/2000 - 27/07/2023
5-5-7,18,05/09/1999 - 28/11/2023
2-2-6,17,07/12/1999 - 09/09/2024
4-5-5,17,10/08/2000 - 07/09/2021
0-0-5,16,28/01/1999 - 16/04/2024
2-2-2,13,06/03/1999 - 07/06/2024
6-6-6,11,02/08/2001 - 16/08/2024
8-8-8,11,17/12/1999 - 31/03/2024
5-5-5,9,13/06/2000 - 10/09/2021
9-9-9,8,27/01/1999 - 21/06/2024
1-1-1,8,11/02/2002 - 10/04/2022
4-4-4,7,24/04/2000 - 27/04/2024
3-3-3,7,03/10/2002 - 03/01/2020
0-0-0,5,05/09/2001 - 13/10/2017
7-7-7,4,21/03/2000 - 14/12/2006
