Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Winning Number 7,Powerball Number,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount,Division 7 winners,Division 7 winners in WA,Division 7 prize pool,Division 7 amount,Division 8 winners,Division 8 winners in WA,Division 8 prize pool,Division 8 amount,Division 9 winners,Division 9 winners in WA,Division 9 prize pool,Division 9 amount
1354,2022-04-28,12,7,16,19,1,24,25,7,0,0,0,0,3,1,448443.6,149481.2,75,10,274050,3654,1067,122,498289,467,2831,377,373692,132,37736,4556,2416990.8,64.05,47076,5296,1892455.2,40.2,228654,27343,3738492.9,16.35,642813,77601,6556692.6,10.2
1355,2022-05-05,30,26,16,35,12,2,17,19,0,0,0,0,7,0,661185.7,94455.1,70,6,404057.5,5772.25,1564,192,734689,469.75,3314,457,550952.5,166.25,47679,6370,3564005.25,74.75,62386,8238,2791773.5,44.75,306225,39717,5512050,18,906496,115969,9654182.4,10.65
1356,2022-05-12,18,16,22,14,4,7,9,10,0,0,0,0,10,0,954765.5,95476.55,124,14,583469.6,4705.4,2629,288,1060801.5,403.5,5226,607,795658.5,152.25,74963,8903,5146209.95,68.65,102676,11673,4030033,39.25,459820,56573,7954886,17.3,1295874,160727,13930645.5,10.75
1357,2022-05-19,15,34,5,11,28,8,27,3,2,0,80000000,40000000,8,0,1328836.8,166104.6,190,27,812069.5,4274.05,3473,510,1476545.95,425.15,7482,959,1107336,148,103131,12625,7162447.95,69.45,143303,18569,5610312.45,39.15,632819,78051,11074332.5,17.5,1806211,226085,19416768.25,10.75
1358,2022-05-26,16,19,21,33,25,13,10,18,1,0,4662065.18,4662065.18,2,0,239448.1,119724.05,37,3,146329.45,3954.85,551,42,266050.35,482.85,1262,142,199522.2,158.1,17538,2112,1290796.8,73.6,24357,2796,1010815.5,41.5,108166,13234,1995662.7,18.45,311784,38253,3491980.8,11.2
1359,2022-06-02,8,15,31,21,11,6,33,7,0,0,0,0,2,0,240426.3,120213.15,37,5,146927,3971,635,104,267144.5,420.7,1265,158,200376,158.4,18700,2231,1295910,69.3,23653,3043,1014713.7,42.9,115068,13642,2002183.2,17.4,335014,39603,3517647,10.5
1360,2022-06-09,23,6,2,13,3,34,20,12,0,0,0,0,3,0,310577.55,103525.85,33,4,189797.85,5751.45,701,47,345102.3,492.3,1635,191,258820.5,158.3,22675,2614,1673415,73.8,30246,3509,1311164.1,43.35,144353,16192,2591136.35,17.95,416547,48070,4540362.3,10.9
1361,2022-06-16,18,3,28,29,15,12,6,15,0,0,0,0,8,0,478296.8,59787.1,83,12,292292.8,3521.6,1435,178,531452.25,370.35,2703,378,398557.35,147.45,37401,4870,2576928.9,68.9,51242,6844,2018934.8,39.4,225017,30628,3982800.9,17.7,639729,86310,6973046.1,10.9
1362,2022-06-23,7,31,10,9,2,22,35,19,0,0,0,0,1,0,654795.05,654795.05,74,14,400151.3,5407.45,1419,201,727521.3,512.7,3409,477,545610.45,160.05,50325,6465,3527782.5,70.1,64466,8433,2765591.4,42.9,322817,40572,5455607.3,16.9,900736,114427,9547801.6,10.6
1363,2022-06-30,22,6,1,16,17,29,11,2,1,0,60000000,60000000,24,0,886179.6,36924.15,130,18,541554,4165.8,2503,415,984680.2,393.4,4716,630,738525.6,156.6,66382,8717,4776184.9,71.95,92013,12400,3740328.45,40.65,415441,52665,7394849.8,17.8,1181572,150234,12938213.4,10.95
1364,2022-07-07,13,16,3,28,30,14,6,11,0,0,0,0,3,0,228852.45,76284.15,19,2,139854.25,7360.75,519,41,254284.05,489.95,1200,155,190740,158.95,17806,2242,1233065.5,69.25,21968,2668,966592,44,110293,13225,1908068.9,17.3,319697,39321,3340833.65,10.45
1365,2022-07-14,35,1,17,33,20,6,26,5,1,0,10467587.98,10467587.98,1,1,310006.05,310006.05,33,0,189448.05,5740.85,615,56,344461.5,560.1,1465,157,258352.75,176.35,21693,2546,1670361,77,28707,3437,1309039.2,45.6,140165,16288,2586044.25,18.45,414520,48176,4538994,10.95
1366,2022-07-21,9,8,25,7,26,2,24,9,1,0,4645690.25,4645690.25,3,2,238793.85,79597.95,46,1,145930.4,3172.4,680,46,265336,390.2,1385,140,199024.5,143.7,20348,2288,1287011,63.25,24738,2611,1008073.5,40.75,121374,14091,1990533.6,16.4,338440,39384,3485932,10.3
1367,2022-07-28,9,5,19,34,23,24,10,13,0,0,0,0,0,0,0,0,25,3,354662.5,14186.5,565,47,244588.5,432.9,1128,117,183469.2,162.65,17489,1938,1186628.65,67.85,21621,2521,929703,43,108798,12136,1833246.3,16.85,313599,35342,3214389.75,10.25
1368,2022-08-04,23,21,17,11,32,6,13,15,0,0,0,0,3,0,277072.8,92357.6,30,5,169323,5644.1,667,81,307853.85,461.55,1530,204,230877,150.9,21301,2461,1493200.1,70.1,30127,3436,1170433.95,38.85,129751,15030,2309567.8,17.8,365964,42680,4043902.2,11.05
1369,2022-08-11,30,23,9,22,5,28,18,3,1,0,20000000,20000000,22,0,449343.4,20424.7,48,6,274598.4,5720.8,1057,150,499273.95,472.35,2339,281,374473.9,160.1,34012,4188,2421654.4,71.2,43952,5716,1896528.8,43.15,214630,25970,3745293.5,17.45,615994,75734,6560336.1,10.65
1370,2022-08-18,1,22,2,4,20,23,27,20,0,0,0,0,2,0,227984.8,113992.4,22,3,139323.8,6332.9,495,86,253316.25,511.75,1203,121,190013.85,157.95,17358,2044,1228946.4,70.8,21292,2249,962398.4,45.2,109994,13203,1897396.5,17.25,314419,37664,3332841.4,10.6
1371,2022-08-25,4,16,8,25,31,12,32,17,0,0,0,0,2,0,289641,144820.5,26,1,177002.8,6807.8,753,41,321832.2,427.4,1484,170,241372.6,162.65,21029,2357,1560351.8,74.2,28075,3252,1222666.25,43.55,131474,15200,2412547.9,18.35,381946,45018,4239600.6,11.1
1372,2022-09-01,3,10,15,26,34,12,4,20,0,0,0,0,3,2,452310.75,150770.25,59,6,276412.05,4684.95,950,123,502550,529,2273,290,376977.05,165.85,32617,4128,2438120.75,74.75,43555,5698,1909886.75,43.85,207921,26977,3773766.15,18.15,603618,77097,6609617.1,10.95
1373,2022-09-08,15,21,23,13,30,25,31,10,1,0,40000000,40000000,2,0,699695.1,349847.55,73,17,427590.2,5857.4,1514,245,777439,513.5,3303,438,583144.65,176.55,49778,6669,3770683.5,75.75,64773,8444,2953648.8,45.6,320523,42523,5833518.6,18.2,936313,122718,10205811.7,10.9
1374,2022-09-15,22,31,35,13,9,2,10,15,1,0,8000000,8000000,2,0,284544.4,142272.2,38,4,173888,4576,886,87,316169.1,356.85,1430,187,237094,165.8,20542,2507,1533460.3,74.65,27634,3412,1202079,43.5,129607,15686,2371808.1,18.3,378428,45820,4162708,11
1375,2022-09-22,24,21,10,15,35,28,26,8,0,0,0,0,1,0,257971.35,257971.35,35,6,157648.75,4504.25,705,93,286617.75,406.55,1290,147,214978.5,166.65,19276,2175,1389799.6,72.1,23883,2791,1089064.8,45.6,120818,13925,2150560.4,17.8,355602,40522,3769381.2,10.6
1376,2022-09-29,15,19,9,12,16,35,20,4,0,0,0,0,3,0,408805.35,136268.45,43,7,249825.7,5809.9,810,135,454248,560.8,1988,223,340643.8,171.35,29439,3371,2203509.15,74.85,37517,4567,1725782,46,187256,22302,3408059.2,18.2,547774,65326,5970736.6,10.9
1377,2022-10-06,28,35,17,14,6,3,4,10,0,0,0,0,7,1,540184.75,77169.25,64,7,330112,5158,1305,180,600234.75,459.95,2592,337,450100.8,173.65,39067,4996,2910491.5,74.5,50137,6317,2281233.5,45.5,250312,31670,4505616,18,729526,91736,7878880.8,10.8
1378,2022-10-13,31,35,16,13,25,18,1,2,0,0,0,0,8,2,884006.8,110500.85,102,11,540227.7,5296.35,2051,259,982223.9,478.9,4207,499,736645.7,175.1,62638,7757,4763619.9,76.05,82498,9664,3733034.5,45.25,393268,48711,7373775,18.75,1149143,141402,12927858.75,11.25
1379,2022-10-20,14,33,11,25,17,24,6,18,0,0,0,0,15,2,2085868.5,139057.9,278,37,1274699.5,4585.25,4835,695,2317657.25,479.35,10746,1333,1738165.5,161.75,155487,19455,11241710.1,72.3,206083,26643,8810048.25,42.75,971564,120852,17390995.6,17.9,2790042,346963,30411457.8,10.9
1380,2022-10-27,10,4,12,18,2,34,7,7,3,1,160000000,53333333.34,42,24,3244844.4,77258.2,442,69,1982966.7,4486.35,7595,1118,3605346.5,474.7,17958,2292,2704474.8,150.6,257447,32686,17480651.3,67.9,330859,42313,13697562.6,41.4,1581260,201194,27039546,17.1,4487999,575848,47348389.45,10.55
1381,2022-11-03,24,32,22,12,2,8,6,2,0,0,0,0,3,1,307686.9,102562.3,60,7,188031,3133.85,1013,133,341887.5,337.5,1887,201,256443.3,135.9,23470,2850,1658155.5,70.65,33055,4035,1299061.5,39.3,139344,16867,2563929.6,18.4,397042,48004,4486574.6,11.3
1382,2022-11-10,15,22,14,3,32,17,5,7,0,0,0,0,5,2,504266.75,100853.35,58,14,308162.7,5313.15,1026,162,560298.6,546.1,2454,378,420247.5,171.25,37222,4934,2717206,73,46912,6620,2129804.8,45.4,239404,31389,4201540.2,17.55,706215,92718,7379946.75,10.45
1383,2022-11-17,6,5,7,19,1,33,14,17,0,0,0,0,7,2,581404.6,83057.8,68,8,355303.4,5225.05,1344,124,645993.6,480.65,2899,323,484567.85,167.15,43254,5525,3133752.3,72.45,56414,7130,2454009,43.5,271405,34976,4844579.25,17.85,781431,100259,8478526.35,10.85
1384,2022-11-24,14,6,9,25,27,31,33,15,1,0,50000000,50000000,26,3,811786.3,31222.55,96,16,496089.6,5167.6,2067,367,901935.45,436.35,4060,580,676396,166.6,58575,7914,4375552.5,74.7,77760,10939,3429216,44.1,368453,49021,6761112.55,18.35,1072162,142813,11847390.1,11.05
1385,2022-12-01,7,34,8,5,2,29,4,15,0,0,0,0,3,0,287178.45,95726.15,31,3,175497.2,5661.2,636,94,319081.2,501.7,1435,177,239286.25,166.75,21167,2545,1547307.7,73.1,29153,3762,1212764.8,41.6,132499,16025,2391606.95,18.05,382922,46906,4192995.9,10.95
1386,2022-12-08,14,4,21,18,35,10,19,11,0,0,0,0,2,0,436977.2,218488.6,56,9,267041.6,4768.6,968,176,485548.8,501.6,2308,276,364202.4,157.8,33185,4131,2354475.75,70.95,41598,5145,1844871.3,44.35,207267,25973,3637535.85,17.55,604033,75253,6372548.15,10.55
1387,2022-12-15,26,21,34,19,22,1,7,2,0,0,0,0,3,0,569722.05,189907.35,80,5,348164,4352.05,1275,80,633037.5,496.5,2752,334,474720,172.5,40850,4595,3069877.5,75.15,53746,6324,2405133.5,44.75,259017,29997,4752961.95,18.35,748110,87334,8341426.5,11.15
1388,2022-12-22,31,23,5,28,7,18,21,4,0,0,0,0,3,0,863221.2,287740.4,85,6,527522.75,6206.15,1980,185,959112,484.4,4680,603,719316,153.7,66003,8019,4653211.5,70.5,90528,11308,3643752,40.25,407066,49634,7184714.9,17.65,1159933,141466,12585273.05,10.85
1389,2022-12-29,9,26,4,23,22,6,24,18,3,0,100000000,33333333.34,33,1,1565658.6,47444.2,187,13,956794.85,5116.55,3555,344,1739639.25,489.35,7949,890,1304828.35,164.15,117341,13806,8436817.9,71.9,153881,17966,6609188.95,42.95,733654,88269,13059041.2,17.8,2099107,254323,22880266.3,10.9
1390,2023-01-05,5,13,27,21,7,9,35,6,1,0,4574542.86,4574542.86,23,0,235229.05,10227.35,27,4,143750.7,5324.1,735,68,261366,355.6,1467,169,195991.2,133.6,19540,2324,1267169,64.85,29172,3504,993306.6,34.05,114472,13195,1957471.2,17.1,317001,37089,3439460.85,10.85
1391,2023-01-12,18,22,34,3,30,10,29,5,0,0,0,0,0,0,0,0,31,1,406422.4,13110.4,602,45,280291.2,465.6,1222,134,210245.1,172.05,17911,2159,1359444.9,75.9,23758,2813,1065546.3,44.85,115654,13481,2104902.8,18.2,337048,39267,3690675.6,10.95
1392,2023-01-19,35,32,34,19,3,30,21,1,0,0,0,0,4,0,326732.6,81683.15,36,3,199670.4,5546.4,711,47,363036.6,510.6,1466,185,272309.5,185.75,22010,2637,1760800,80,29952,3950,1379289.6,46.05,139185,16982,2721066.75,19.55,411625,49105,4774850,11.6
1393,2023-01-26,31,30,28,15,1,33,21,16,0,0,0,0,1,0,478355.25,478355.25,41,3,292327.95,7129.95,851,111,531492.05,624.55,2155,249,398675,185,32949,3685,2578259.25,78.25,41435,4899,2019956.25,48.75,206870,23457,3982247.5,19.25,611962,68337,6976366.8,11.4
1394,2023-02-02,7,35,31,2,24,21,15,18,1,0,40000000,40000000,26,1,680777.5,26183.75,75,17,416032.5,5547.1,1540,269,756448,491.2,3383,474,567329.1,167.7,49370,6031,3668191,74.3,65828,8840,2873392.2,43.65,310273,36679,5677995.9,18.3,900340,105711,9948757,11.05
1395,2023-02-09,32,35,11,28,8,16,3,13,0,0,0,0,3,0,228666.6,76222.2,35,5,139741,3992.6,566,39,254077.4,448.9,1271,152,190586.45,149.95,18065,2046,1232033,68.2,23843,2868,965641.5,40.5,110207,12821,1906581.1,17.3,319018,37002,3333738.1,10.45
1396,2023-02-16,5,8,12,13,35,20,21,8,0,0,0,0,4,0,310949.4,77737.35,52,6,190023.6,3654.3,856,154,345481.6,403.6,1783,191,259159.05,145.35,25104,2860,1675692,66.75,31183,3666,1312804.3,42.1,156000,18305,2589600,16.6,438456,51394,4538019.6,10.35
1397,2023-02-23,6,5,3,11,30,26,24,9,0,0,0,0,4,1,498945.4,124736.35,66,4,304910.1,4619.85,1172,87,554356,473,2634,295,415776.9,157.85,38325,4709,2688498.75,70.15,51004,6016,2106465.2,41.3,238076,29076,4154426.2,17.45,683507,84426,7279349.55,10.65
1398,2023-03-02,18,14,13,16,21,19,29,18,1,1,40000000,40000000,6,0,690400.5,115066.75,82,11,421910.5,5145.25,1544,276,767136.4,496.85,3342,386,575325.3,172.15,50772,6275,3721587.6,73.3,64916,7871,2914728.4,44.9,317024,39480,5753985.6,18.15,921656,116157,10092133.2,10.95
1399,2023-03-09,7,10,27,33,30,20,17,1,1,0,4624844.58,4624844.58,6,2,238076.4,39679.4,43,5,145490.5,3383.5,963,123,264536.1,274.7,1291,198,198426.7,153.7,17172,2245,1282748.4,74.7,26949,3538,1005197.7,37.3,105982,12972,1981863.4,18.7,301756,36767,3485281.8,11.55
1400,2023-03-16,32,17,29,34,28,3,22,18,0,0,0,0,1,0,251079.9,251079.9,31,6,153437.6,4949.6,611,89,278982.6,456.6,1206,145,209241,173.5,17466,2201,1352741.7,77.45,23540,2835,1060477,45.05,110655,14153,2091379.5,18.9,326067,41500,3668253.75,11.25
1401,2023-03-23,26,4,7,5,18,25,19,15,1,0,10626529.3,10626529.3,20,0,295064,14753.2,35,8,180316.5,5151.9,706,139,327831.1,464.35,1558,203,245852.4,157.8,23029,2955,1590152.45,69.05,30679,3868,1245567.4,40.6,142149,17316,2459177.7,17.3,400487,47998,4305235.25,10.75
1402,2023-03-30,12,5,6,7,13,35,11,15,0,0,0,0,3,1,291410.7,97136.9,30,6,178084.5,5936.15,674,75,323789.6,480.4,1502,216,242873.4,161.7,22283,2745,1569837.35,70.45,29380,3722,1231022,41.9,141077,17170,2426524.4,17.2,399738,48348,4257209.7,10.65
1403,2023-04-06,30,33,24,6,21,12,17,10,0,0,0,0,3,1,467506.05,155835.35,69,6,285697.95,4140.55,1463,143,519438.15,355.05,2411,331,389617.6,161.6,33660,4353,2519451,74.85,46371,5645,1973086.05,42.55,213591,27117,3898035.75,18.25,625929,79202,6822626.1,10.9
1404,2023-04-13,27,33,19,29,5,12,15,4,1,0,30000000,30000000,2,0,563658.3,281829.15,73,8,344457.8,4718.6,1518,161,626250.9,412.55,3015,365,469737,155.8,41839,5334,3037511.4,72.6,57663,7413,2378598.75,41.25,260035,33112,4693631.75,18.05,747746,95288,8225206,11
1405,2023-04-20,32,30,12,18,1,13,24,6,0,0,0,0,4,0,247387,61846.75,28,5,151180.4,5399.3,515,89,274881.25,533.75,1237,141,206146.05,166.65,17048,2171,1333153.6,78.2,22006,2589,1044184.7,47.45,109247,13777,2059305.95,18.85,323397,40314,3622046.4,11.2
1406,2023-04-27,30,16,27,6,33,19,28,17,0,0,0,0,5,0,308159.5,61631.9,38,3,188320.4,4955.8,709,114,342411.55,482.95,1478,188,256802.5,173.75,22256,2770,1660297.6,74.6,28165,3558,1301223,46.2,139228,16792,2568756.6,18.45,406631,49519,4493272.55,11.05
1407,2023-05-04,35,31,20,18,13,2,34,9,1,0,20053292.21,20053292.21,25,0,475878.75,19035.15,78,7,290815.2,3728.4,1295,159,528748.5,408.3,2287,242,396565.8,173.4,33102,4136,2563749.9,77.45,43954,5043,2008697.8,45.7,210557,26704,3968999.45,18.85,629606,79109,6957146.3,11.05
1408,2023-05-11,8,15,9,18,3,28,12,14,1,0,4273177.93,4273177.93,24,1,220102.8,9170.95,35,5,134506.75,3843.05,840,93,244566,291.15,1355,180,183399.25,135.35,18211,2349,1186446.65,65.15,26534,3226,928690,35,109181,13456,1834240.8,16.8,305477,37934,3222782.35,10.55
1409,2023-05-18,3,19,6,33,11,20,7,18,0,0,0,0,0,0,0,0,36,3,355874.4,9885.4,663,82,245442.6,370.2,1321,169,184081.35,139.35,17570,2139,1190367.5,67.75,25399,2827,932143.3,36.7,107456,13063,1842870.4,17.15,300386,36881,3229149.5,10.75
1410,2023-05-25,17,20,30,29,27,12,8,6,0,0,0,0,2,0,394272.9,197136.45,52,12,490178,9426.5,837,157,426242.25,509.25,1770,248,319662,180.6,26337,3360,2002928.85,76.05,34171,4852,1556489.05,45.55,162623,21495,3301246.9,20.3,469576,61881,5681869.6,12.1
1411,2023-06-01,14,23,19,31,6,28,34,3,0,0,0,0,12,0,519607.2,43300.6,66,12,645998.1,9787.85,1254,225,561729.3,447.95,2296,289,421316,183.5,33975,4360,2639857.5,77.7,45439,5832,2049298.9,45.1,213977,27003,4354431.95,20.35,621735,78797,7491906.75,12.05
1412,2023-06-08,17,15,28,12,22,21,20,11,0,0,0,0,4,0,719877.4,179969.35,85,7,894982,10529.2,1485,132,778214.25,524.05,3366,417,583664.4,173.4,48829,6190,3657292.1,74.9,63649,8425,2841927.85,44.65,307940,39710,6035624,19.6,889948,115588,10367894.2,11.65
1413,2023-06-15,20,11,13,9,2,25,31,2,0,0,0,0,4,0,1120038,280009.5,141,22,1392480.75,9875.75,2615,401,1210875.75,463.05,5247,682,908255.7,173.1,76418,10107,5689320.1,74.45,100617,13977,4422117.15,43.95,467542,60870,9374217.1,20.05,1328252,174144,16138261.8,12.15
1414,2023-06-22,22,3,5,23,4,14,6,17,1,0,100000000,100000000,10,0,2160700,216070,214,24,2686277.8,12552.7,4732,513,2335951.8,493.65,9866,1202,1751708.3,177.55,145034,17722,10979073.8,75.7,192208,23390,8524424.8,44.35,905717,112907,18114340,20,2610159,327316,31060892.1,11.9
1415,2023-06-29,3,28,8,18,5,24,1,2,0,0,0,0,1,0,249394.55,249394.55,44,4,310057,7046.75,780,94,269607,345.65,1331,164,202178.9,151.9,17303,2190,1267444.75,73.25,26996,3003,984004.2,36.45,101723,12503,2090407.65,20.55,286855,35297,3585687.5,12.5
1416,2023-07-06,12,28,7,16,10,20,17,20,0,0,0,0,5,0,397611,79522.2,54,4,494326.8,9154.2,883,110,429844.4,486.8,2161,245,322421.2,149.2,29400,3500,2019780,68.7,38161,4535,1568417.1,41.1,176763,20996,3331982.55,18.85,487744,59619,5730992,11.75
1417,2023-07-13,19,3,29,17,27,30,11,15,0,0,0,0,2,1,518242.1,259121.05,58,10,644301.7,11108.65,1200,191,560280,466.9,2613,337,420170.4,160.8,37300,5076,2633380,70.6,52331,6477,2046142.1,39.1,223117,29519,4339625.65,19.45,621126,81050,7453512,12
1418,2023-07-20,7,29,14,4,32,27,9,17,0,0,0,0,13,4,776886.5,59760.5,118,16,965859.5,8185.25,2107,256,839850.2,398.6,3817,513,629995.85,165.05,53595,6980,3947271.75,73.65,72280,9421,3064672,42.4,329282,42731,6503319.5,19.75,936166,120475,11187183.7,11.95
1419,2023-07-27,19,14,18,22,16,4,33,18,0,0,0,0,8,1,1079756.8,134969.6,128,20,1342400,10487.5,2392,338,1167296,488,4993,685,875522.55,175.35,72309,9306,5484637.65,75.85,94915,12591,4261683.5,44.9,448183,60147,9053296.6,20.2,1286967,174490,15572300.7,12.1
1420,2023-08-03,13,7,18,1,23,25,33,7,2,0,100000000,50000000,49,3,2003164.1,40880.9,268,31,2490416.8,9292.6,4771,548,2165556.9,453.9,10194,1317,1624413.9,159.35,144837,19079,10174799.25,70.25,183325,23816,7901307.5,43.1,879573,115103,16799844.3,19.1,2493416,326932,28798954.8,11.55
1421,2023-08-10,11,24,9,23,18,16,10,9,0,0,0,0,1,0,264052.6,264052.6,30,0,328281,10942.7,597,40,285455.55,478.15,1260,183,214074,169.9,18278,2294,1341605.2,73.4,23134,2776,1042186.7,45.05,116212,14644,2213838.6,19.05,331747,41531,3798503.15,11.45
1422,2023-08-17,24,12,30,26,10,17,21,10,0,0,0,0,4,0,393827,98456.75,54,9,489623.4,9067.1,858,127,425739.6,496.2,2015,258,319276.75,158.45,27038,3433,2000812,74,34536,4063,1554120,45,166839,21168,3303412.2,19.8,473993,60398,5664216.35,11.95
1423,2023-08-24,8,17,18,20,11,3,33,7,0,0,0,0,6,1,549208.5,91534.75,61,8,682800.45,11193.45,1092,127,593720.4,543.7,2700,386,445365,164.95,39952,5341,2790647.2,69.85,51538,6641,2167172.9,42.05,245571,31934,4604456.25,18.75,695597,91812,7895025.95,11.35
1424,2023-08-31,10,35,27,32,6,14,31,6,1,0,40000000,40000000,28,0,762841.8,27244.35,67,7,948398.4,14155.2,1479,131,824690.4,557.6,3251,427,618502.75,190.25,47378,6192,3875520.4,81.8,62265,7796,3010512.75,48.35,303990,40281,6383790,21,895561,117283,10970622.25,12.25
